name,category,attraction_type,region,tourist_area,locality,municipality,tier,popularity,accessibility,open_in_september,best_season,needs_hiking,duration,tickets,photography,confidence,spots_within_25km,spots_within_50km,is_route,lat,lon,maps_url
Motorcycle Museum of Iceland,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,Akureyrarbær,Akureyrarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,17,,65.6612636,-18.0803469,"https://www.google.com/maps?q=65.6612636,-18.0803469"
Museum of Icelandic Sorcery and Witchcraft,Cultural Centres & Museums,Cultural Centres & Museums,Westfjords,,,Strandabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,10,,65.7065374,-21.6656455,"https://www.google.com/maps?q=65.7065374,-21.6656455"
Museum of Prophecies,Cultural Centres & Museums,Cultural Centres & Museums,Northwest,,,Sveitarfélagið Skagaströnd,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,12,,65.822295,-20.3041859,"https://www.google.com/maps?q=65.822295,-20.3041859"
Neskaupstaður's Museum House,Cultural Centres & Museums,Cultural Centres & Museums,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,29,,65.1472782,-13.6886268,"https://www.google.com/maps?q=65.1472782,-13.6886268"
Petra's Stone Collection,Cultural Centres & Museums,Cultural Centres & Museums,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,7,24,,64.8354696,-13.8805212,"https://www.google.com/maps?q=64.8354696,-13.8805212"
Safnasafnið,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,,Svalbarðsstrandarhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,18,,65.7492851,-18.0750249,"https://www.google.com/maps?q=65.7492851,-18.0750249"
Sagnagarður,Cultural Centres & Museums,Cultural Centres & Museums,South,,,Rangárþing ytra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,41,,63.8639504,-20.2174633,"https://www.google.com/maps?q=63.8639504,-20.2174633"
Samuel's Sculptures,Cultural Centres & Museums,Cultural Centres & Museums,Westfjords,,,Vesturbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,13,,65.7774894444444,-24.0037294444444,"https://www.google.com/maps?q=65.7774894444444,-24.0037294444444"
Seyðisfjörður Local Crafts Market,Cultural Centres & Museums,Cultural Centres & Museums,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,30,,65.2612551,-14.0029013,"https://www.google.com/maps?q=65.2612551,-14.0029013"
Sigurgeir's Bird Museum,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,,Þingeyjarsveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,17,,65.628827,-16.9950577,"https://www.google.com/maps?q=65.628827,-16.9950577"
Skaftfell - Center for Visual Art,Cultural Centres & Museums,Cultural Centres & Museums,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,30,,65.261529,-13.9986397,"https://www.google.com/maps?q=65.261529,-13.9986397"
Skagafjörður,Cultural Centres & Museums,Cultural Centres & Museums,Northwest,,,Skagafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,10,,65.746111,-19.639444,"https://www.google.com/maps?q=65.746111,-19.639444"
Skriduklaustur,Cultural Centres & Museums,Cultural Centres & Museums,East,,,Fljótsdalshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,13,,65.041417,-14.9532721,"https://www.google.com/maps?q=65.041417,-14.9532721"
Skógar Folk Museum,Cultural Centres & Museums,Cultural Centres & Museums,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,28,,63.5261584,-19.4929862,"https://www.google.com/maps?q=63.5261584,-19.4929862"
Snorrastofa,Cultural Centres & Museums,Cultural Centres & Museums,West,,Borgarbyggð,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,16,,64.665034,-21.291099,"https://www.google.com/maps?q=64.665034,-21.291099"
Síldarminjasafn Íslands - The Herring Era Museum,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,,Fjallabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,8,,66.146992,-18.913227,"https://www.google.com/maps?q=66.146992,-18.913227"
The Exploration Museum,Cultural Centres & Museums,Cultural Centres & Museums,Northeast,,,Norðurþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,10,,66.047844,-17.3443520000001,"https://www.google.com/maps?q=66.047844,-17.3443520000001"
The Icelandic Sea Monster Museum,Cultural Centres & Museums,Cultural Centres & Museums,Westfjords,,,Vesturbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,6,16,,65.6866671,-23.5976886999999,"https://www.google.com/maps?q=65.6866671,-23.5976886999999"
The Settlement Center,Cultural Centres & Museums,Cultural Centres & Museums,West,,Borgarbyggð,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,36,,64.535658,-21.9235610000001,"https://www.google.com/maps?q=64.535658,-21.9235610000001"
The Thórbergur Center,Cultural Centres & Museums,Cultural Centres & Museums,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,17,,64.1297088,-16.0186672,"https://www.google.com/maps?q=64.1297088,-16.0186672"
Tækniminjasafn,Cultural Centres & Museums,Cultural Centres & Museums,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,30,,65.2651211,-13.9921148999999,"https://www.google.com/maps?q=65.2651211,-13.9921148999999"
Vopnafjörður,Cultural Centres & Museums,Cultural Centres & Museums,East,,,Vopnafjarðarhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,1,,65.7549521,-14.8271966,"https://www.google.com/maps?q=65.7549521,-14.8271966"
Ásmundarsafn,Cultural Centres & Museums,Cultural Centres & Museums,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,None (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,27,70,,64.1416311,-21.885167,"https://www.google.com/maps?q=64.1416311,-21.885167"
Gate of the Eyrie,Game of Thrones filming locations,Game of Thrones filming locations,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,10,69,,64.27043,-21.11065,"https://www.google.com/maps?q=64.27043,-21.11065"
Grjótagjá cave,Game of Thrones filming locations,Game of Thrones filming locations,Northeast,,,Þingeyjarsveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,8,14,,65.626145,-16.860559,"https://www.google.com/maps?q=65.626145,-16.860559"
Höfðabrekkuheiði,Game of Thrones filming locations,Game of Thrones filming locations,South,,,Mýrdalshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,10,20,,63.506963,-18.903093,"https://www.google.com/maps?q=63.506963,-18.903093"
Snæfellsjökull,Game of Thrones filming locations,Game of Thrones filming locations,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,13,19,,64.805702,-23.773097,"https://www.google.com/maps?q=64.805702,-23.773097"
Svínafellsjökull,Game of Thrones filming locations,Game of Thrones filming locations,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,not assessed,6,13,,64.018592,-16.821478,"https://www.google.com/maps?q=64.018592,-16.821478"
Almenningur,Hikes / Places to Hike,Hikes / Places to Hike,Capital,,Hafnarfjarðarkaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,36,64,,64.0054744444444,-22.0528791666667,"https://www.google.com/maps?q=64.0054744444444,-22.0528791666667"
Arnarsetur,Hikes / Places to Hike,Hikes / Places to Hike,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,30,58,,63.9055738888889,-22.4105736111111,"https://www.google.com/maps?q=63.9055738888889,-22.4105736111111"
Bolafjall,Hikes / Places to Hike,Hikes / Places to Hike,Westfjords,,Bolungarvíkurkaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,14,,66.1707769,-23.2834625,"https://www.google.com/maps?q=66.1707769,-23.2834625"
Dimmuborgir,Hikes / Places to Hike,Hikes / Places to Hike,Northeast,,,Þingeyjarsveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,13,,65.5860387,-16.9143105,"https://www.google.com/maps?q=65.5860387,-16.9143105"
"Einbúi, Jafnadal Valley",Hikes / Places to Hike,Hikes / Places to Hike,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,29,,64.8759171,-14.004693,"https://www.google.com/maps?q=64.8759171,-14.004693"
Eldgjá Canyon,Hikes / Places to Hike,Hikes / Places to Hike,South,,,Skaftárhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,19,,63.8949963888889,-18.7538680555556,"https://www.google.com/maps?q=63.8949963888889,-18.7538680555556"
Fimmvörðuháls pass,Hikes / Places to Hike,Hikes / Places to Hike,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,32,,63.6220102777778,-19.4307155555556,"https://www.google.com/maps?q=63.6220102777778,-19.4307155555556"
Gerpir Area,Hikes / Places to Hike,Hikes / Places to Hike,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,27,,65.0646759,-13.7075044,"https://www.google.com/maps?q=65.0646759,-13.7075044"
Gerpisvatn,Hikes / Places to Hike,Hikes / Places to Hike,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,27,,65.061999,-13.5536957,"https://www.google.com/maps?q=65.061999,-13.5536957"
Grákinn,Hikes / Places to Hike,Hikes / Places to Hike,South,,,Sveitarfélagið Hornafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,5,,64.4733333,-14.93,"https://www.google.com/maps?q=64.4733333,-14.93"
Grænafell Mountain,Hikes / Places to Hike,Hikes / Places to Hike,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,29,,65.0413268,-14.3312359,"https://www.google.com/maps?q=65.0413268,-14.3312359"
Herdubreid,Hikes / Places to Hike,Hikes / Places to Hike,Northeast,,,Þingeyjarsveit,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,3,,65.1752475,-16.3407898,"https://www.google.com/maps?q=65.1752475,-16.3407898"
Holmanes Nature Reserve,Hikes / Places to Hike,Hikes / Places to Hike,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,23,29,,65.0444074,-14.0072582,"https://www.google.com/maps?q=65.0444074,-14.0072582"
Hornstrandir Nature Reserve,Hikes / Places to Hike,Hikes / Places to Hike,Westfjords,,,Ísafjarðarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,11,,66.3818067,-22.690337,"https://www.google.com/maps?q=66.3818067,-22.690337"
Keilir,Hikes / Places to Hike,Hikes / Places to Hike,Reykjanes,,Sveitarfélagið Vogar,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,23,64,,63.9408127777778,-22.1674975,"https://www.google.com/maps?q=63.9408127777778,-22.1674975"
Kjarnaskógur,Hikes / Places to Hike,Hikes / Places to Hike,Northeast,,Akureyrarbær,Akureyrarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,9,16,,65.6419299,-18.0981025,"https://www.google.com/maps?q=65.6419299,-18.0981025"
Kolugljúfur,Hikes / Places to Hike,Hikes / Places to Hike,Northwest,,,Húnaþing vestra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,5,,65.3324782,-20.5698988,"https://www.google.com/maps?q=65.3324782,-20.5698988"
Mt. Fagradalsfjall,Hikes / Places to Hike,Hikes / Places to Hike,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,27,61,,63.8975586111111,-22.2868713888889,"https://www.google.com/maps?q=63.8975586111111,-22.2868713888889"
Mt. Thorbjorn,Hikes / Places to Hike,Hikes / Places to Hike,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,28,54,,63.8652225,-22.4369158333334,"https://www.google.com/maps?q=63.8652225,-22.4369158333334"
Nauthúsagil Ravine,Hikes / Places to Hike,Hikes / Places to Hike,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,14,30,,63.6677402,-19.8534107,"https://www.google.com/maps?q=63.6677402,-19.8534107"
Neskaupstaðar Nature Reserve,Hikes / Places to Hike,Hikes / Places to Hike,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,15,29,,65.149907,-13.6593854,"https://www.google.com/maps?q=65.149907,-13.6593854"
Rauðfeldsgjá Gorge,Hikes / Places to Hike,Hikes / Places to Hike,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,17,19,,64.7992305,-23.6468194,"https://www.google.com/maps?q=64.7992305,-23.6468194"
Rauðhólar,Hikes / Places to Hike,Hikes / Places to Hike,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,29,71,,64.0955556,-21.7516667,"https://www.google.com/maps?q=64.0955556,-21.7516667"
Sandfell Mountain,Hikes / Places to Hike,Hikes / Places to Hike,Northeast,,,Norðurþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,6,,66.1195732,-16.3962841,"https://www.google.com/maps?q=66.1195732,-16.3962841"
Saxhóll,Hikes / Places to Hike,Hikes / Places to Hike,West,,,Snæfellsbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,12,19,,64.8516187,-23.9265535,"https://www.google.com/maps?q=64.8516187,-23.9265535"
Seljalandsdalur,Hikes / Places to Hike,Hikes / Places to Hike,Westfjords,,,Ísafjarðarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,16,,66.07,-23.2413889,"https://www.google.com/maps?q=66.07,-23.2413889"
Seltjarnarnes,Hikes / Places to Hike,Hikes / Places to Hike,Capital,,Seltjarnarnesbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,72,,64.1576706,-22.0178032,"https://www.google.com/maps?q=64.1576706,-22.0178032"
Sogin,Hikes / Places to Hike,Hikes / Places to Hike,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,28,64,,63.9315280555556,-22.1011886111112,"https://www.google.com/maps?q=63.9315280555556,-22.1011886111112"
Spákonufell,Hikes / Places to Hike,Hikes / Places to Hike,Northwest,,,Sveitarfélagið Skagaströnd,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,11,,65.8454775,-20.2426052777778,"https://www.google.com/maps?q=65.8454775,-20.2426052777778"
Stakkholtsgjá,Hikes / Places to Hike,Hikes / Places to Hike,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,32,,63.6749349,-19.5575523,"https://www.google.com/maps?q=63.6749349,-19.5575523"
Strandir,Hikes / Places to Hike,Hikes / Places to Hike,Westfjords,,,Kaldrananeshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,8,,65.859444,-21.293056,"https://www.google.com/maps?q=65.859444,-21.293056"
Stórurð,Hikes / Places to Hike,Hikes / Places to Hike,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,17,,65.5144266666667,-13.9906375,"https://www.google.com/maps?q=65.5144266666667,-13.9906375"
The Stone Arch,Hikes / Places to Hike,Hikes / Places to Hike,East,,,Fjarðabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,9,27,,64.8548461,-13.965683,"https://www.google.com/maps?q=64.8548461,-13.965683"
Valagil Ravine,Hikes / Places to Hike,Hikes / Places to Hike,Westfjords,,,Súðavíkurhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,11,17,,65.9671563,-23.0855799,"https://www.google.com/maps?q=65.9671563,-23.0855799"
Videy,Hikes / Places to Hike,Hikes / Places to Hike,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,26,69,,64.164301,-21.8529023,"https://www.google.com/maps?q=64.164301,-21.8529023"
Ásbyrgi Canyon,Hikes / Places to Hike,Hikes / Places to Hike,Northeast,,,Norðurþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,10,,66.0180879,-16.5056276,"https://www.google.com/maps?q=66.0180879,-16.5056276"
Úlfarsfell,Hikes / Places to Hike,Hikes / Places to Hike,Capital,,Reykjavíkurborg,Reykjavíkurborg,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Some walking (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,68,,64.1468437,-21.7105051,"https://www.google.com/maps?q=64.1468437,-21.7105051"
Birkimelur Swimming Pool,Hot springs,Hot springs,Westfjords,,,Vesturbyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,9,,65.519615,-23.4053381,"https://www.google.com/maps?q=65.519615,-23.4053381"
Drangsnes,Hot springs,Hot springs,Westfjords,,,Kaldrananeshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,9,,65.6910487,-21.4427376,"https://www.google.com/maps?q=65.6910487,-21.4427376"
Geothermal pool in Hofsós,Hot springs,Hot springs,Northwest,,,Skagafjörður,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,4,13,,65.8957829,-19.410865,"https://www.google.com/maps?q=65.8957829,-19.410865"
Gudrunarlaug Natural Pool,Hot springs,Hot springs,West,,,Dalabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,6,,65.2460168,-21.8040418,"https://www.google.com/maps?q=65.2460168,-21.8040418"
Hotel Heydalur,Hot springs,Hot springs,Westfjords,,,Súðavíkurhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,3,18,,65.8439566,-22.6800456,"https://www.google.com/maps?q=65.8439566,-22.6800456"
Hotel Reykjanes,Hot springs,Hot springs,Westfjords,,,Súðavíkurhreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,2,16,,65.9273985,-22.4278163,"https://www.google.com/maps?q=65.9273985,-22.4278163"
Krossneslaug,Hot springs,Hot springs,Westfjords,,,Árneshreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,6,,66.0562592,-21.5085268,"https://www.google.com/maps?q=66.0562592,-21.5085268"
Kvika footbath,Hot springs,Hot springs,Capital,,Seltjarnarnesbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,71,,64.1623833,-22.0082667,"https://www.google.com/maps?q=64.1623833,-22.0082667"
Laugarvatn Fontana,Hot springs,Hot springs,South,,,Bláskógabyggð,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,21,44,,64.2147063,-20.730172,"https://www.google.com/maps?q=64.2147063,-20.730172"
Nauthólsvík Geothermal Beach,Hot springs,Hot springs,Not assessed,,,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,30,73,,64.1212623,-21.9301271,"https://www.google.com/maps?q=64.1212623,-21.9301271"
Point 19,Hot springs,Hot springs,Capital,,Seltjarnarnesbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,25,71,,64.1649896,-22.0220005,"https://www.google.com/maps?q=64.1649896,-22.0220005"
Reykhólar seaweed baths,Hot springs,Hot springs,Westfjords,,,Reykhólahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,8,,65.4500958,-22.2038841,"https://www.google.com/maps?q=65.4500958,-22.2038841"
Reykjafjörður Hot Pool,Hot springs,Hot springs,Westfjords,,,Ísafjarðarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,0,5,,66.2546944444444,-22.0862777777778,"https://www.google.com/maps?q=66.2546944444444,-22.0862777777778"
Secret Lagoon,Hot springs,Hot springs,South,,,Hrunamannahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,20,41,,64.1378883,-20.3098637,"https://www.google.com/maps?q=64.1378883,-20.3098637"
Seljavallalaug,Hot springs,Hot springs,South,,,Rangárþing eystra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,13,30,,63.5659877,-19.6086192,"https://www.google.com/maps?q=63.5659877,-19.6086192"
Akranes,Points of Interest,Points of Interest,West,,Akraneskaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,17,52,,64.326068,-22.067509,"https://www.google.com/maps?q=64.326068,-22.067509"
Akureyri,Points of Interest,Points of Interest,Northeast,,Akureyrarbær,Akureyrarbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,10,16,,65.6884921,-18.1261694,"https://www.google.com/maps?q=65.6884921,-18.1261694"
Bolungarvík,Points of Interest,Points of Interest,Westfjords,,Bolungarvíkurkaupstaður,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,8,14,,66.155012,-23.253357,"https://www.google.com/maps?q=66.155012,-23.253357"
Borgarfjörður Eystri,Points of Interest,Points of Interest,East,,,Múlaþing,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,1,15,,65.5265799,-13.8182044,"https://www.google.com/maps?q=65.5265799,-13.8182044"
Borgarvirki,Points of Interest,Points of Interest,Northwest,,,Húnaþing vestra,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,5,10,,65.4750161111111,-20.5951830555556,"https://www.google.com/maps?q=65.4750161111111,-20.5951830555556"
Brautarholt / South Central,Points of Interest,Points of Interest,South,,,Skeiða- og Gnúpverjahreppur,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,14,45,,64.022107,-20.52197,"https://www.google.com/maps?q=64.022107,-20.52197"
Bridge America - Europe,Points of Interest,Points of Interest,Reykjanes,,Reykjanesbær,,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,22,48,,63.8683301,-22.6755023,"https://www.google.com/maps?q=63.8683301,-22.6755023"
Brimketill,Points of Interest,Points of Interest,Reykjanes,,,Grindavíkurbær,Unranked,Not assessed,Not assessed,Not assessed,Not assessed,Little or none (inferred from category),Not assessed,Not assessed,Not assessed,not assessed,19,46,,63.8179836111111,-22.5989097222223,"https://www.google.com/maps?q=63.8179836111111,-22.5989097222223"
